,fullDesignation,ssObjectId,pop
33,2011 2000 QJ1,-5425461725806584081,NEA
34,2011 2000 QP,1058881074903722955,NEA
35,2011 2000 QW69,4529554897988436014,NEA
36,2011 2000 YF29,3849600783837651357,NEA
37,2011 2001 CB21,-6129367443498306678,NEA
38,2011 2001 DU8,-3757278815376017298,NEA
39,2011 2001 KQ1,-6461736535605338012,NEA
40,2011 2001 OZ13,-837114504122448154,NEA
41,2011 2001 PL9,7709619228160580583,NEA
42,2011 2001 RY11,8853327034873808721,NEA
43,2011 2001 WG2,-8336995501514094524,NEA
44,2011 2001 XU10,4865457699540036219,NEA
45,2011 2002 AC2,7268321906844905742,NEA
46,2011 2002 DB4,-5177234352665841313,NEA
47,2011 2002 JC,-2205002058394291786,NEA
48,2011 2002 OA22,-2269718837623722228,NEA
49,2011 2002 PC130,-4011558755534256116,NEA
50,2011 2002 TC9,1312421092730992147,NEA
51,2011 2002 UX,-3121943118544189236,NEA
52,2011 2003 EB50,8377237288883855076,NEA
53,2011 2003 HB6,2667070602144559879,NEA
54,2011 2003 KR18,2817223451972085922,NEA
55,2011 2003 QQ47,-7515112909567949918,NEA
56,2011 2003 SA224,1902707267296190063,NEA
57,2011 2003 YQ117,4082036412784069685,NEA
58,2011 2004 LJ1,569239042480305830,NEA
59,2011 2005 GN59,9194187739388783262,NEA
60,2011 2005 TG45,-49508148589710926,NEA
61,2011 2005 XJ8,1800285536134573578,NEA
62,2011 2006 NM,6336851437772720155,NEA
63,2011 2006 SZ217,9001183616657635817,NEA
64,2011 2007 DA41,62536749466406583,NEA
65,2011 2008 AT28,8438970380043574647,NEA
66,2011 2008 LW8,-6648108870706963195,NEA
67,2011 2009 WF104,276387092477450370,NEA
68,2011 2011 MD11,-4890587491922249145,NEA
69,2011 2011 UL21,-3887178211067434317,NEA
70,2011 2012 KJ11,-4289511210885912334,NEA
71,2011 2013 AP60,558859884604918279,NEA
72,2011 2015 BG311,714989184607329543,NEA
0,2011 1978 VC7,-1620233283793809366,JT
1,2011 1988 RY11,-7035947527884368043,JT
2,2011 1988 SJ2,-1778537567696075259,JT
3,2011 1991 EJ,3928348543594717566,JT
4,2011 1996 RN31,-2467166363309835024,JT
5,2011 1996 RY30,-1310145618023474129,JT
6,2011 1996 TA58,8730790732814129789,JT
7,2011 1996 TZ36,926465849111651817,JT
8,2011 1997 TD28,-6447739190806140643,JT
9,2011 1997 TK18,-1000643596927888547,JT
10,2011 1997 TW28,-7811749247422550485,JT
11,2011 1998 WJ15,-8375282009575425938,JT
12,2011 1998 WY8,-5050424509895908962,JT
13,2011 1998 YP6,-1779832001735105161,JT
14,2011 1999 NA38,4141956376821584960,JT
15,2011 1999 WS4,-1616350797411205657,JT
16,2011 1999 XY129,-7132155470458027817,JT
17,2011 1999 XY187,-904672211955468943,JT
18,2011 1999 YO22,-8604119093313678657,JT
19,2011 2000 AL8,4542934266604896983,JT
20,2011 2000 AN6,-6223651753271955515,JT
21,2011 2000 AU242,-4061410684006915050,JT
22,2011 2000 AU57,1668379194361719350,JT
23,2011 2000 AW183,205335143049460796,JT
24,2011 2000 QU167,6303315714663862713,JT
25,2011 2000 QU176,-190062479579666334,JT
26,2011 2000 QV65,-4217032775034244723,JT
